SampleName	SampleType	Organism	Replicate	SampleGroup	Molecule	ExtractionInformation	PassageNumber	Sex
GroupA_1	Cells	Mouse	1	GroupA	Total RNA	14_Jan	P6	Female
GroupA_2	Cells	Mouse	2	GroupA	Total RNA	14_Jan	P6	Male
GroupA_3	Cells	Mouse	3	GroupA	Total RNA	20_Jan	P6	Male
GroupA_4	Cells	Mouse	4	GroupA	Total RNA	20_Jan	P6	Female
GroupA_5	Cells	Mouse	5	GroupA	Total RNA	14_Jan	P6	Male
GroupA_6	Cells	Mouse	6	GroupA	Total RNA	14_Jan	P6	Male
GroupA_7	Cells	Mouse	7	GroupA	Total RNA	20_Jan	P6	Male
GroupA_8	Cells	Mouse	8	GroupA	Total RNA	20_Jan	P6	Female
GroupB_1	Cells	Mouse	1	GroupB	Total RNA	14_Jan	P6	Male
GroupB_2	Cells	Mouse	2	GroupB	Total RNA	14_Jan	P6	Male
GroupB_3	Cells	Mouse	3	GroupB	Total RNA	20_Jan	P6	Male
GroupB_4	Cells	Mouse	4	GroupB	Total RNA	20_Jan	P6	Male
GroupB_5	Cells	Mouse	5	GroupB	Total RNA	14_Jan	P6	Male
GroupB_6	Cells	Mouse	6	GroupB	Total RNA	14_Jan	P6	Male
GroupB_7	Cells	Mouse	7	GroupB	Total RNA	20_Jan	P6	Male
GroupB_8	Cells	Mouse	8	GroupB	Total RNA	20_Jan	P6	Female
GroupC_1	Cells	Mouse	1	GroupC	Total RNA	14_Jan	P5	Female
GroupC_2	Cells	Mouse	2	GroupC	Total RNA	14_Jan	P5	Female
GroupC_3	Cells	Mouse	3	GroupC	Total RNA	20_Jan	P5	Male
GroupC_4	Cells	Mouse	4	GroupC	Total RNA	20_Jan	P5	Male
GroupC_5	Cells	Mouse	5	GroupC	Total RNA	14_Jan	P5	Male
GroupC_5	Cells	Mouse	6	GroupC	Total RNA	14_Jan	P5	Male
GroupC_5	Cells	Mouse	8	GroupC	Total RNA	20_Jan	P5	Female
GroupC_6	Cells	Mouse	7	GroupC	Total RNA	20_Jan	P5	Male
GroupD_1	Cells	Mouse	1	GroupD	Total RNA	14_Jan	P5	Male
GroupD_2	Cells	Mouse	2	GroupD	Total RNA	14_Jan	P5	Male
GroupD_3	Cells	Mouse	3	GroupD	Total RNA	20_Jan	P5	Female
GroupD_4	Cells	Mouse	4	GroupD	Total RNA	20_Jan	P5	Male
GroupD_5	Cells	Mouse	5	GroupD	Total RNA	14_Jan	P5	Male
GroupD_5	Cells	Mouse	6	GroupD	Total RNA	14_Jan	P5	Male
GroupD_5	Cells	Mouse	8	GroupD	Total RNA	20_Jan	P5	Female
GroupD_6	Cells	Mouse	7	GroupD	Total RNA	20_Jan	P5	Male
GroupE_1	Cells	Mouse	1	GroupE	Total RNA	14_Jan	P8	Female
GroupE_2	Cells	Mouse	2	GroupE	Total RNA	14_Jan	P8	Female
GroupE_3	Cells	Mouse	3	GroupE	Total RNA	20_Jan	P8	Male
GroupE_4	Cells	Mouse	4	GroupE	Total RNA	20_Jan	P8	Male
GroupE_5	Cells	Mouse	8	GroupE	Total RNA	20_Jan	P8	Female
GroupE_6	Cells	Mouse	5	GroupE	Total RNA	14_Jan	P8	Male
GroupE_7	Cells	Mouse	6	GroupE	Total RNA	14_Jan	P8	Female
GroupE_8	Cells	Mouse	7	GroupE	Total RNA	20_Jan	P8	Female
GroupF_1	Cells	Mouse	1	GroupF	Total RNA	14_Jan	P8	Female
GroupF_2	Cells	Mouse	2	GroupF	Total RNA	14_Jan	P8	Female
GroupF_3	Cells	Mouse	3	GroupF	Total RNA	20_Jan	P8	Male
GroupF_4	Cells	Mouse	4	GroupF	Total RNA	20_Jan	P8	Male
GroupF_5	Cells	Mouse	8	GroupF	Total RNA	20_Jan	P8	Female
GroupF_6	Cells	Mouse	5	GroupF	Total RNA	14_Jan	P8	Female
GroupF_7	Cells	Mouse	6	GroupF	Total RNA	14_Jan	P8	Female
GroupF_8	Cells	Mouse	7	GroupF	Total RNA	20_Jan	P8	Female
GroupG_1	Cells	Mouse	1	GroupG	Total RNA	14_Jan	P8	Male
GroupG_2	Cells	Mouse	2	GroupG	Total RNA	14_Jan	P8	Female
GroupG_3	Cells	Mouse	3	GroupG	Total RNA	20_Jan	P8	Female
GroupG_4	Cells	Mouse	4	GroupG	Total RNA	20_Jan	P8	Male
GroupG_5	Cells	Mouse	5	GroupG	Total RNA	14_Jan	P8	Female
GroupG_6	Cells	Mouse	6	GroupG	Total RNA	14_Jan	P8	Male
GroupG_7	Cells	Mouse	7	GroupG	Total RNA	20_Jan	P8	Female
GroupG_8	Cells	Mouse	8	GroupG	Total RNA	20_Jan	P8	Female
GroupH_1	Cells	Mouse	1	GroupH	Total RNA	14_Jan	P8	Male
GroupH_2	Cells	Mouse	2	GroupH	Total RNA	14_Jan	P8	Female
GroupH_3	Cells	Mouse	3	GroupH	Total RNA	20_Jan	P8	Female
GroupH_4	Cells	Mouse	4	GroupH	Total RNA	20_Jan	P8	Male
GroupH_5	Cells	Mouse	5	GroupH	Total RNA	14_Jan	P8	Male
GroupH_6	Cells	Mouse	6	GroupH	Total RNA	14_Jan	P8	Male
GroupH_7	Cells	Mouse	7	GroupH	Total RNA	20_Jan	P8	Male
GroupH_8	Cells	Mouse	8	GroupH	Total RNA	20_Jan	P8	Female
GroupI_1	Cells	Mouse	1	GroupI	Total RNA	14_Jan	P6	Male
GroupI_2	Cells	Mouse	2	GroupI	Total RNA	14_Jan	P6	Male
